transactionNumber,amount,cardnumber,cvv,expiration
1,150.0,1234567890123456,123,12/24
2,200.5,9876543210987654,321,11/25
3,75.99,1122334455667788,234,10/23
4,320.45,4433221100987765,456,09/22
5,400.0,6677889900112233,567,08/24
6,120.3,1230984567890234,678,07/25
7,250.75,9988776655443322,789,06/23
8,90.5,1100223344556677,890,05/24
9,180.9,4455667788990011,345,04/22
10,280.99,8899001122334455,678,03/23
11,350.0,1010101010101010,111,12/26
12,60.5,2020202020202020,222,11/25
13,550.0,3030303030303030,333,01/26
14,75.25,4040404040404040,444,09/23
15,700.0,5050505050505050,555,12/26
16,45.99,6060606060606060,666,10/22
17,190.5,7070707070707070,777,11/24
18,99.99,8080808080808080,888,06/23
19,260.75,9090909090909090,999,07/25
20,500.0,1111222233334444,112,08/23
21,220.3,5555666677778888,445,05/24
22,180.99,6666777788889999,889,03/22
23,390.0,7777888899990000,223,11/23
24,90.5,8888999900001111,445,09/23
25,260.8,9999000011112222,567,07/22
26,380.99,1234432198765432,234,12/23
27,550.5,9876543212345678,543,08/22
28,600.2,8765432198765432,654,11/25
29,150.75,1111999922223333,765,12/26
30,190.4,2222111133334444,876,10/23
